"Sukunimi","Yhteensä"
"Honkamaa",113
"Huoman",113
"Hurmalainen",113
"Hurula",113
"Häll",113
"Högbacka",113
"Ilvesluoto",113
"Kadenius",113
"Kaitajärvi",113
"Kantomaa",113
"Karioja",113
"Kassinen",113
"Kingelin",113
"Kivari",113
"Kostian",113
"Kyntäjä",113
"Lehmusvirta",113
"Leikkainen",113
"Lindborg",113
"Matsi",113
"Mölläri",113
"Nordblom",113
"Oivo",113
"Ollinen",113
"Paldan",113
"Palén",113
"Phan",113
"Piela",113
"Piittisjärvi",113
"Porttila",113
"Putkuri",113
"Päärni",113
"Rantalaiho",113
"Saares",113
"Savelainen",113
"Sievinen",113
"Taurén",113
"Teini",113
"Tigerstedt",113
"Tuhkala",113
"Vartiamäki",113
"Wulff",113
"Välisalo",113
"Väntsi",113
"Ylisuvanto",113
"Asunta",112
"Bexar",112
"Fredman",112
"Hattukangas",112
"Hauta",112
"Heilimo",112
"Horto",112
"Hoskonen",112
"Hulmi",112
"Joro",112
"Jylhänkangas",112
"Kelo",112
"Kilpimaa",112
"Kontoniemi",112
"Kopperoinen",112
"Korkia-aho",112
"Kourunen",112
"Kumar",112
"Kömi",112
"Latvalehto",112
"Lehmusvaara",112
"Lindsten",112
"Linnainmaa",112
"Löyttyniemi",112
"Matomäki",112
"Mönkäre",112
"Osmala",112
"Paasivirta",112
"Palani",112
"Pulska",112
"Putila",112
"Rantahalvari",112
"Ropo",112
"Sairio",112
"Salonoja",112
"Saxberg",112
"Tasa",112
"Thusberg",112
"Tienvieri",112
"Tuuva",112
"Vahlroos",112
"Viitakoski",112
"Ahto",111
"Alahuhta",111
"Amiri",111
"Degerth",111
"Filpus",111
"Fred",111
"Gran",111
"Harsunen",111
"Hattula",111
"Helppolainen",111
"Hilonen",111
"Hindersson",111
"Holmborg",111
"Huopana",111
"Huru",111
"Jansén",111
"Kangasperko",111
"Kilpivaara",111
"Laaksoharju",111
"Laatu",111
"Lintukangas",111
"Marjomäki",111
"Mastosalo",111
"Moradi",111
"Mutta",111
"Nurmiainen",111
"Opas",111
"Rova",111
"Saloheimo",111
"Selkee",111
"Stenmark",111
"Taberman",111
"Tiili",111
"Tillander",111
"Ventola",111
"Vähärautio",111
"Ylläsjärvi",111
"Borenius",110
"Brusin",110
"Böhm",110
"Carpelan",110
"Falenius",110
"Gren",110
"Hallila",110
"Heini",110
"Huiskonen",110
"Häger",110
"Junnonaho",110
"Kalliosalo",110
"Kangaskolkka",110
"Karhukorpi",110
"Ketoja",110
"Koistila",110
"Kourula",110
"Kusmin",110
"Käyrä",110
"Lepikko",110
"Leppihalme",110
"Lintilä",110
"Littow",110
"Lundsten",110
"Lunki",110
"Morko",110
"Mårtensson",110
"Ojamaa",110
"Pasto",110
"Puha",110
"Richter",110
"Rokkonen",110
"Salimäki",110
"Skogman",110
"Suontakanen",110
"Tanila",110
"Yildiz",110
"Åke",110
"Aatola",109
"Aksila",109
"Alajuuma",109
"Alaniemi",109
"Blomfelt",109
"Förström",109
"Hasani",109
"Havo",109
"Helaakoski",109
"Hirvijärvi",109
"Huida",109
"Inki",109
"Juottonen",109
"Jäderholm",109
"Kettukangas",109
"Knuutti",109
"Koste",109
"Lindbäck",109
"Linder",109
"Ljung",109
"Martinez",109
"Mohammad",109
"Musse",109
"Norman",109
"Pantsu",109
"Piittinen",109
"Pirttijoki",109
"Pohjoismäki",109
"Pääaho",109
"Rosenback",109
"Siliämaa",109
"Sipi",109
"Skrifvars",109
"Suolahti",109
"Tahvonen",109
"Takku",109
"Vauhkala",109
"Virenius",109
"Ylitolonen",109
"Ahlstrand",108
"Alikoski",108
"Arvilommi",108
"Ceesay",108
"Haapapuro",108
"Hautakorpi",108
"Jallow",108
"Kaakkurivaara",108
"Kare",108
"Koivulehto",108
"Kuitto",108
"Kylmä",108
"Käpynen",108
"Laituri",108
"Lalu",108
"Lehtolainen",108
"Lyhykäinen",108
"Mäkimaa",108
"Mäkkeli",108
"Neste",108
"Nevasaari",108
"Niittymaa",108
"Nokkanen",108
"Parkkola",108
"Piik",108
"Puljujärvi",108
"Pykälämäki",108
"Riekko",108
"Rönni",108
"Saarikangas",108
"Sahin",108
"Sandén",108
"Siniluoto",108
"Sutelainen",108
"Särs",108
"Tihveräinen",108
"Torro",108
"Töyräs",108
"Vilkas",108
"Vilminko",108
"Virrankari",108
"Vuojärvi",108
"Välipakka",108
"Ylitolva",108
"Zetterman",108
"Åkerholm",108
"Ämmänpää",108
"Österback",108
"Amin",107
"Berger",107
"Casagrande",107
"Floman",107
"Haaraoja",107
"Hahtokari",107
"Iskala",107
"Itälä",107
"Jolma",107
"Kalijärvi",107
"Kariluoto",107
"Kataikko",107
"Kiikeri",107
"Koppelomäki",107
"Källi",107
"Laitonen",107
"Lindkvist",107
"Lundelin",107
"Malaska",107
"Malja",107
"Merilahti",107
"Mettinen",107
"Mitikka",107
"Ohls",107
"Oljemark",107
"Paksuniemi",107
"Papinkivi",107
"Parkkamäki",107
"Pietola",107
"Pukari",107
"Rantio",107
"Ruottu",107
"Saarenheimo",107
"Suojala",107
"Suursalmi",107
"Talala",107
"Tervanen",107
"Toroskainen",107
"Trast",107
"Törönen",107
"Uppa",107
"Vaija",107
"Vesterberg",107
"Vihma",107
"Östberg",107
"Abdulle",106
"Ahlblad",106
"Anttilainen",106
"Aurala",106
"Djupsjöbacka",106
"Ekstrand",106
"Hagner",106
"Hautalampi",106
"Huldin",106
"Hyppölä",106
"Jaaranen",106
"Kajanne",106
"Kalavainen",106
"Katajamaa",106
"Kaukovalta",106
"Kurola",106
"Laukas",106
"Lillrank",106
"Lusa",106
"Lyytikkä",106
"Långstedt",106
"Malmgren",106
"Malmstedt",106
"Mansikkaniemi",106
"Maunumäki",106
"Mild",106
"Niemimaa",106
"Nippala",106
"Nipuli",106
"Ojakangas",106
"Okker",106
"Pasula",106
"Patanen",106
"Paunu",106
"Pirkkanen",106
"Pirttiaho",106
"Pyyny",106
"Pörhölä",106
"Ristinen",106
"Ruokangas",106
"Ruoppa",106
"Saarivuori",106
"Santaniemi",106
"Sarkanen",106
"Seikola",106
"Solismaa",106
"Strömsholm",106
"Söderbacka",106
"Talvi",106
"Timmerbacka",106
"Tiura",106
"Vihtari",106
"Vikholm",106
"Virkajärvi",106
"Vuorensyrjä",106
"Alopaeus",105
"Brunou",105
"Hallinen",105
"Harjamäki",105
"Hatula",105
"Heusala",105
"Honkimaa",105
"Huhdanmäki",105
"Jahnsson",105
"Joenperä",105
"Kaitanen",105
"Kangasjärvi",105
"Kantele",105
"Kinni",105
"Kostilainen",105
"Kutilainen",105
"Lasonen",105
"Maanselkä",105
"Malmlund",105
"Nääppä",105
"Paloniitty",105
"Pihkakoski",105
"Poikselkä",105
"Pukema",105
"Rouvari",105
"Ruutikainen",105
"Rökman",105
"Sara-aho",105
"Schulz",105
"Sonne",105
"Taivalmäki",105
"Toiminen",105
"Tsutsunen",105
"Weman",105
"Wesslin",105
"Virtaniemi",105
"Väätämöinen",105
"Ylikarjula",105
"Åvall",105
"Ala-Poikela",104
"Backas",104
"Bergendahl",104
"Bovellan",104
"Bredenberg",104
"Brotkin",104
"Enojärvi",104
"Hievanen",104
"Inkeri",104
"Itäniemi",104
"Kaakko",104
"Kallioranta",104
"Kauttio",104
"Killström",104
"Kivineva",104
"Kotikangas",104
"Kuivasniemi",104
"Landström",104
"Lecklin",104
"Lehtimaa",104
"Linja",104
"Matinaho",104
"Matinlompolo",104
"Merenheimo",104
"Monthan",104
"Niemiaho",104
"Nordbäck",104
"Paalijärvi",104
"Parvinen",104
"Rashid",104
"Reivonen",104
"Ridanpää",104
"Riuttamäki",104
"Romberg",104
"Saali",104
"Saxén",104
"Strandell",104
"Sysmäläinen",104
"Tillanen",104
"Tynninen",104
"Törnvall",104
"Uurinmäki",104
"Vallila",104
"Valovirta",104
"Vilkkilä",104
"Aartolahti",103
"Ahvenus",103
"Appelgren",103
"Aulin",103
"Bastman",103
"Bauer",103
"Dyster",103
"Ehrnsten",103
"Filppu",103
"Flemming",103
"Hellstedt",103
"Huitula",103
"Ilkko",103
"Irri",103
"Jaanu",103
"Kajaste",103
"Kannas",103
"Kaulio",103
"Keskiaho",103
"Kiskonen",103
"Konkola",103
"Konttaniemi",103
"Kyrkkö",103
"Lange",103
"Lewis",103
"Lidman",103
"Lindbom",103
"Långbacka",103
"Muje",103
"Mustasilta",103
"Prami",103
"Rajajärvi",103
"Rautjärvi",103
"Risberg",103
"Romunen",103
"Runsala",103
"Sahari",103
"Schulman",103
"Selänne",103
"Soivio",103
"Sved",103
"Teerikangas",103
"Thompson",103
"Westerling",103
"Viitavaara",103
"Väihkönen",103
"Västi",103
"Anjala",102
"Bonn",102
"Cederström",102
"Garcia",102
"Gottberg",102
"Halko",102
"Himmelroos",102
"Hinkula",102
"Hydén",102
"Hämälä",102
"Ilmoniemi",102
"Kaisko",102
"Katisko",102
"Kohtanen",102
"Kostamovaara",102
"Kotti",102
"Krapu",102
"Kyyriäinen",102
"Laaksovirta",102
"Lapinniemi",102
"Linnamäki",102
"Lönnrot",102
"Maanpää",102
"Monola",102
"Nurhonen",102
"Parta",102
"Penninkangas",102
"Piekkala",102
"Piirala",102
"Piuva",102
"Prokkola",102
"Pätynen",102
"Raula",102
"Rehmonen",102
"Remahl",102
"Salmensuo",102
"Siuvatti",102
"Sundsten",102
"Takatalo",102
"Tallus",102
"Tanttari",102
"Vihervirta",102
"Voltti",102
"Väisälä",102
"Ylisaukko-oja",102
"Ylitervo",102
"Österåker",102
"Anttolainen",101
"Dahlén",101
"Ginman",101
"Harala",101
"Havela",101
"Hed",101
"Hento",101
"Jokivirta",101
"Juutila",101
"Kaapro",101
"Kandelin",101
"Karkkonen",101
"Kause",101
"Kirvesoja",101
"Kuivas",101
"Kuivinen",101
"Kukonlehto",101
"Kulha",101
"Kullström",101
"Kuusiluoma",101
"Lepo",101
"Melamies",101
"Meller",101
"Mörö",101
"Nukala",101
"Nuttunen",101
"Onikki",101
"Piisilä",101
"Putto",101
"Ristaniemi",101
"Rivinoja",101
"Ruokojärvi",101
"Sidoroff",101
"Skoglund",101
"Stubb",101
"Sämpi",101
"Tall",101
"Tuhkalainen",101
"Tulisalo",101
"Wahlstedt",101
"Vihermaa",101
"Vuontisjärvi",101
"Välinen",101
"Ahosola",100
"Anttiroiko",100
"Aspelund",100
"Björkstrand",100
"Glader",100
"Hanhivaara",100
"Hekkanen",100
"Hillo",100
"Holtari",100
"Horsma",100
"Houtsonen",100
"Huohvanainen",100
"Id",100
"Illukka",100
"Jokivuori",100
"Kailio",100
"Kalander",100
"Kangaskoski",100
"Kangasoja",100
"Kastari",100
"Kauttu",100
"Kiljala",100
"Koivuneva",100
"Kotaniemi",100
"Kuusirati",100
"Kössi",100
"Latvajärvi",100
"Liikonen",100
"Linjala",100
"Luopa",100
"Maarala",100
"Marjakoski",100
"Markoff",100
"Mickos",100
"Muurman",100
"Neitola",100
"Piesanen",100
"Pihlajasalo",100
"Pohjaranta",100
"Puroila",100
"Putaala",100
"Rasinen",100
"Ruostetsaari",100
"Saarilampi",100
"Sassali",100
"Skantz",100
"Sulku",100
"Sunikka",100
"Suntila",100
"Svanberg",100
"Swanljung",100
"Taavela",100
"Thurén",100
"Tupeli",100
"Widberg",100
"Widjeskog",100
"Viherkoski",100
"Vihko",100
"Vihlman",100
"Wiman",100
"Airisto",99
"Alakopsa",99
"Alapuranen",99
"Andrejeff",99
"Azizi",99
"Björksten",99
"Cederqvist",99
"Dogan",99
"Esala",99
"Fagernäs",99
"Haponen",99
"Hautamaa",99
"Havunen",99
"Heine",99
"Holkeri",99
"Holtinkoski",99
"Högnäs",99
"Kanala",99
"Kangaspunta",99
"Kantala",99
"Karhusaari",99
"Kerälä",99
"Keskiniva",99
"Kieksi",99
"Kihlman",99
"Knaappila",99
"Korkee",99
"Kottila",99
"Laajalahti",99
"Laitiainen",99
"Lasarov",99
"Lehmikangas",99
"Luomanperä",99
"Mäcklin",99
"Mäki-Turja",99
"Nauska",99
"Nora",99
"Oilinki",99
"Pajuoja",99
"Panu",99
"Perälampi",99
"Poola",99
"Raisio",99
"Renholm",99
"Sabel",99
"Siiriäinen",99
"Silmu",99
"Spännäri",99
"Sumiloff",99
"Suninen",99
"Teuho",99
"Tuohimäki",99
"Werner",99
"Viinikkala",99
"Vistbacka",99
"Ölander",99
"Ahveninen",98
"Alakurtti",98
"Alaoja",98
"Alasuvanto",98
"Aliranta",98
"Andström",98
"Blomstedt",98
"Gunell",98
"Haapajoki",98
"Harja",98
"Huhtamaa",98
"Huhti",98
"Iitti",98
"Jokilahti",98
"Jyrkiäinen",98
"Järvenkylä",98
"Kalaja",98
"Karjanmaa",98
"Kaunismaa",98
"Kietäväinen",98
"Kortekangas",98
"Krohns",98
"Kräkin",98
"Kulojärvi",98
"Kuusio",98
"Kykyri",98
"Lahdensuu",98
"Lakela",98
"Lampio",98
"Latvasalo",98
"Liutu",98
"Luopajärvi",98
"Malmelin",98
"Mankonen",98
"Monni",98
"Mörn",98
"Neijonen",98
"Notkola",98
"Onttonen",98
"Oravakangas",98
"Palmberg",98
"Pankkonen",98
"Potinkara",98
"Pöntiö",98
"Rahimi",98
"Rajavuori",98
"Rannanpää",98
"Rantakaulio",98
"Rautaoja",98
"Runonen",98
"Saatsi",98
"Sahlgren",98
"Sahlstedt",98
"Sandin",98
"Savunen",98
"Sjölind",98
"Smulter",98
"Stjernvall",98
"Stålnacke",98
"Träff",98
"Turpeenniemi",98
"Tyrmi",98
"Vaari",98
"Valkjärvi",98
"Valtola",98
"Vasala",98
"Viirumäki",98
"Villgren",98
"Yli-Hukka",98
"Änäkkälä",98
"Artell",97
"Blinnikka",97
"Brofeldt",97
"Buss",97
"Haaga",97
"Heinikangas",97
"Helmi",97
"Henttula",97
"Jaala",97
"Jusslin",97
"Juvela",97
"Jäärni",97
"Kallberg",97
"Kalsi",97
"Kaurila",97
"Kehus",97
"Keto-Tokoi",97
"Keväänranta",97
"Kling",97
"Korsström",97
"Lamminsalo",97
"Lamsijärvi",97
"Logren",97
"Mahosenaho",97
"Mettiäinen",97
"Miskala",97
"Mursula",97
"Mäkivirta",97
"Nielikäinen",97
"Niini",97
"Ojamäki",97
"Palmqvist",97
"Piilinen",97
"Poikulainen",97
"Puolamäki",97
"Pykälistö",97
"Pätilä",97
"Pönniö",97
"Roman",97
"Råstedt",97
"Rössi",97
"Selkämaa",97
"Sjö",97
"Sorola",97
"Tankka",97
"Thesslund",97
"Tilvis",97
"Tohka",97
"Törnström",97
"Töytäri",97
"Uskali",97
"Uusipaikka",97
"Vaaja",97
"Vihervä",97
"Wihlman",97
"Vikkula",97
"Baas",96
"Edgren",96
"Enroos",96
"Erlund",96
"Grekula",96
"Harsia",96
"Havas",96
"Hyrsky",96
"Häkki",96
"Högnabba",96
"Iho",96
"Jolanki",96
"Jung",96
"Jyllilä",96
"Järvenmäki",96
"Jönsson",96
"Kaarlenkaski",96
"Kaatrasalo",96
"Kamsula",96
"Kansanoja",96
"Kirjanen",96
"Kivikari",96
"Koivulampi",96
"Kyllinen",96
"Källström",96
"Lapiolahti",96
"Linkola",96
"Lumio",96
"Luode",96
"Luoti",96
"Martonen",96
"Matela",96
"Mattfolk",96
"Melender",96
"Mesimäki",96
"Montin",96
"Musikka",96
"Mustaparta",96
"Pajumäki",96
"Pankka",96
"Pohtila",96
"Rahtu",96
"Rajavaara",96
"Remonen",96
"Riihilahti",96
"Risikko",96
"Ritakorpi",96
"Robinson",96
"Ruohio",96
"Saarman",96
"Sahlsten",96
"Sakkara",96
"Santasalo",96
"Siippainen",96
"Siltamäki",96
"Sinko",96
"Sippu",96
"Stellberg",96
"Ståhlström",96
"Sulo",96
"Svenn",96
"Sydänmetsä",96
"Syvälahti",96
"Säävälä",96
"Taittonen",96
"Välkky",96
"Ylitapio",96
"Åvist",96
"Alavuotunki",95
"Campbell",95
"Evans",95
"Forsbom",95
"Front",95
"Granfelt",95
"Harvala",95
"Heikkurinen",95
"Hemmi",95
"Hevonoja",95
"Ihantola",95
"Juntikka",95
"Kelander",95
"Kontiola",95
"Kuhalampi",95
"Kuorelahti",95
"Lehtineva",95
"Mansnerus",95
"Nelson",95
"Paadar",95
"Palovuori",95
"Petersen",95
"Piha",95
"Pikkumäki",95
"Rautasalo",95
"Riittinen",95
"Röman",95
"Saijets",95
"Satama",95
"Tiinanen",95
"Toikander",95
"Toratti",95
"Tähtelä",95
"Ukonmaanaho",95
"Vaaramaa",95
"Vankka",95
"Veräjänkorva",95
"Viinikanoja",95
"Vuorjoki",95
"Yang",95
"Österblad",95
"Aittamaa",94
"Blomström",94
"Eho",94
"Gillberg",94
"Hiekkavirta",94
"Iikkanen",94
"Ingalsuo",94
"Jarvansalo",94
"Jonasson",94
"Kalinainen",94
"Karim",94
"Kempe",94
"Kolhonen",94
"Kotkavuori",94
"Kuurila",94
"Laitanen",94
"Luikku",94
"Mukka",94
"Myrskog",94
"Nordfors",94
"Nysten",94
"Näse",94
"Nätti",94
"Oesch",94
"Papinniemi",94
"Pernaa",94
"Piiponniemi",94
"Putro",94
"Pått",94
"Ramula",94
"Rönnkvist",94
"Samanen",94
"Shala",94
"Staffans",94
"Suikka",94
"Säärelä",94
"Tantarimäki",94
"Tillonen",94
"Tuittu",94
"Urponen",94
"Uusikylä",94
"Vaitiniemi",94
"Valanne",94
"Veini",94
"Vellamo",94
"Vesteri",94
"Viitamaa",94
"Ånäs",94
"Ärväs",94
"Aska",93
"Bhandari",93
"Björnholm",93
"Busk",93
"Degerholm",93
"Dinh",93
"Esselström",93
"Haaramo",93
"Hakalax",93
"Hanhijärvi",93
"Hanhiniemi",93
"Hirvasoja",93
"Holst",93
"Höynälä",93
"Jokitulppo",93
"Jungell",93
"Jäkkö",93
"Kalilainen",93
"Kaminen",93
"Karikko",93
"Karkulehto",93
"Kauramäki",93
"Kiiala",93
"Kolomainen",93
"Korpijaakko",93
"Kreander",93
"Krogell",93
"Krouvi",93
"Kukkasniemi",93
"Kylmälahti",93
"Luoranen",93
"Lähteelä",93
"Mehtomaa",93
"Mielityinen",93
"Mäenranta",93
"Möttö",93
"Nilsen",93
"Pakalén",93
"Pastila",93
"Pinomaa",93
"Punta",93
"Pusenius",93
"Pöhö",93
"Raiskinmäki",93
"Reinvall",93
"Riivari",93
"Rosendal",93
"Ruonakangas",93
"Schalin",93
"Soukko",93
"Svan",93
"Touronen",93
"Törmi",93
"Törö",93
"Ukskoski",93
"Uusi-Pohjola",93
"Vallinkoski",93
"Vannas",93
"Vessari",93
"Viipuri",93
"Vilppo",93
"Währn",93
"Österbacka",93
"Ahtila",92
"Andberg",92
"Auno",92
"Bågman",92
"Heiliö",92
"Hiirikoski",92
"Hypén",92
"Isoranta",92
"Javarus",92
"Junkala",92
"Järn",92
"Kahari",92
"Kares",92
"Karkiainen",92
"Karnaattu",92
"Kasvi",92
"Kelhä",92
"Kiander",92
"Kronberg",92
"Lampen",92
"Lapatto",92
"Latosaari",92
"Leijala",92
"Lepikkö",92
"Mansikkala",92
"Maronen",92
"Metsi",92
"Nordblad",92
"Nummikoski",92
"Ojantakanen",92
"Parkatti",92
"Perander",92
"Peuralahti",92
"Puharinen",92
"Pöyhölä",92
"Raami",92
"Regina",92
"Reuter",92
"Rolig",92
"Rotko",92
"Röksä",92
"Saurio",92
"Siiki",92
"Soramäki",92
"Torpo",92
"Tuomivirta",92
"Uitti",92
"Ulenius",92
"Uuskoski",92
"Vahteri",92
"Wainio",92
"Valkamo",92
"Valppu",92
"Virola",92
"Wirta",92
"Vuolli",92
"Väliviita",92
"Akujärvi",91
"Ansala",91
"Brummer",91
"Halt",91
"Hankilanoja",91
"Hellevaara",91
"Holmkvist",91
"Hummasti",91
"Hussa",91
"Hyöty",91
"Ipatti",91
"Jokisaari",91
"Jälkö",91
"Karevaara",91
"Kellberg",91
"Kruus",91
"Kulta",91
"Kultima",91
"Kuusimurto",91
"Kylander",91
"Kylmäoja",91
"Laurio",91
"Liisanantti",91
"Limingoja",91
"Ljunggren",91
"Loippo",91
"Loukko",91
"Mäki-Mantila",91
"Niiniviita",91
"Nystrand",91
"Näätsaari",91
"Paasikoski",91
"Palokas",91
"Paski",91
"Pienmunne",91
"Popov",91
"Puntila",91
"Rinteelä",91
"Rojo",91
"Ronkonen",91
"Sainmaa",91
"Sakala",91
"Saksanen",91
"Salko",91
"Sarparanta",91
"Severinkangas",91
"Sibakov",91
"Soila",91
"Stedt",91
"Sundén",91
"Suurhasko",91
"Svanström",91
"Tervasmäki",91
"Töyli",91
"Vallivaara",91
"Vanha",91
"Viianen",91
"Wirman",91
"Wu",91
"Östlund",91
"Ahjoniemi",90
"Böling",90
"Collanus",90
"Dolk",90
"Gerdt",90
"Gestranius",90
"Hakunti",90
"Havula",90
"Havulehto",90
"Helen",90
"Hentinen",90
"Hernetkoski",90
"Ho",90
"Holmbäck",90
"Huumo",90
"Hylkilä",90
"Itänen",90
"Jankkila",90
"Jaukkuri",90
"Karri",90
"Karsten",90
"Klaus",90
"Koivuporras",90
"Korpunen",90
"Kuntola",90
"Kytökorpi",90
"Lampikoski",90
"Lehtivuori",90
"Leppikorpi",90
"Liljekvist",90
"Lithén",90
"Loppukaarre",90
"Maaniitty",90
"Malmivuori",90
"Markuksela",90
"Martikka",90
"Metsämuuronen",90
"Miftari",90
"Muraja",90
"Mustakoski",90
"Mutkala",90
"Muuriaisniemi",90
"Mäki-Petäjä",90
"Naulapää",90
"Niilola",90
"Niskavaara",90
"Olsbo",90
"Pentinsaari",90
"Piikki",90
"Pohjanoksa",90
"Puntti",90
"Raivonen",90
"Rantasuo",90
"Roivanen",90
"Rosbäck",90
"Ruuhimäki",90
"Ryhtä",90
"Ryökäs",90
"Röning",90
"Samuli",90
"Savikuja",90
"Seitz",90
"Sheikh",90
"Stam",90
"Suosalo",90
"Syväluoma",90
"Tahko",90
"Tarkkala",90
"Tiistola",90
"Ukura",90
"Uurtamo",90
"Veltheim",90
"Verkasalo",90
"Vähäsantanen",90
"Ylianttila",90
"Ådahl",90
"Agge",89
"Alam",89
"Alitupa",89
"Borgmästars",89
"Enbuske",89
"Finnäs",89
"Gull",89
"Halunen",89
"Helkamäki",89
"Helkkula",89
"Hernesaho",89
"Huhmarniemi",89
"Huovari",89
"Iisakkala",89
"Isomursu",89
"Jaaksi",89
"Joukanen",89
"Kaivo-oja",89
"Kansonen",89
"Karling",89
"Kekoni",89
"Koljander",89
"Kuopio",89
"Kurra",89
"Kylmäaho",89
"Kyötikki",89
"Köntti",89
"Liminka",89
"Mieskolainen",89
"Mäntyjärvi",89
"Mäntykivi",89
"Nuolikoski",89
"Nylén",89
"Oljakka",89
"Paavonen",89
"Parri",89
"Pirneskoski",89
"Pylkkä",89
"Pöyhiä",89
"Ralli",89
"Rantasalmi",89
"Rauhamaa",89
"Rautiala",89
"Rein",89
"Ring",89
"Ritakallio",89
"Ruhkala",89
"Salojensaari",89
"Sandman",89
"Sellman",89
"Siilin",89
"Sottinen",89
"Talso",89
"Tarkki",89
"Tverin",89
"Töllikkö",89
"Vahvanen",89
"Vieltojärvi",89
"Viio",89
"Virsunen",89
"Wrede",89
"Vuorimies",89
"Vänninen",89
"Vörlin",89
"Yppärilä",89
"Yrjälä",89
"Öman",89
"Ahlnäs",88
"Ala-Kokko",88
"Alamikkelä",88
"Ansas",88
"Antin",88
"Aulanko",88
"Bergfors",88
"Davis",88
"Duong",88
"Finneman",88
"Ginström",88
"Glasberg",88
"Guled",88
"Haring",88
"Hautasaari",88
"Hietasalo",88
"Hoikkanen",88
"Holmala",88
"Hossaini",88
"Häme",88
"Jauhonen",88
"Jern",88
"Johanson",88
"Juuri",88
"Karenius",88
"Karhi",88
"Karhila",88
"Kippilä",88
"Kokkomäki",88
"Kortman",88
"Kortteinen",88
"Koski-Vähälä",88
"Kurt",88
"Lastumäki",88
"Leppimäki",88
"Lillberg",88
"Linnakoski",88
"Lohman",88
"Luodes",88
"Lääkkölä",88
"Löhönen",88
"Mallenius",88
"Mangs",88
"Martola",88
"Mella",88
"Mentu",88
"Mether",88
"Miekka",88
"Murtoperä",88
"Mäihäniemi",88
"Neuman",88
"Osmonen",88
"Osola",88
"Pihlajakangas",88
"Pilpola",88
"Poijärvi",88
"Pouhula",88
"Pouru",88
"Pähtilä",88
"Rahkila",88
"Rautelin",88
"Rinnekangas",88
"Ripattila",88
"Roimola",88
"Rojola",88
"Rousi",88
"Ruokoja",88
"Seipäjärvi",88
"Snabb",88
"Stenudd",88
"Vanttaja",88
"Vattula",88
"Vestergård",88
"Wuorio",88
"Yrttimaa",88
"Adan",87
"Ademi",87
"Blomroos",87
"Damski",87
"Ericsson",87
"Finnig",87
"Hashi",87
"Havumäki",87
"Heliö",87
"Hiivala",87
"Honkaharju",87
"Hotokka",87
"Jakkula",87
"Jekkonen",87
"Jomppanen",87
"Joutsiniemi",87
"Jähi",87
"Kaihlanen",87
"Keyriläinen",87
"Kivilehto",87
"Koisti",87
"Krause",87
"Kummunmäki",87
"Kurka",87
"Kylkilahti",87
"Lagerblom",87
"Lassas",87
"Leppäharju",87
"Liewendahl",87
"Liljedahl",87
"Luhtasaari",87
"Lusenius",87
"Maaskola",87
"Mahlanen",87
"Mahmood",87
"Maisala",87
"Melartin",87
"Mäkirinne",87
"Mömmö",87
"Niittyvuopio",87
"Noro",87
"Pakisjärvi",87
"Peltosaari",87
"Permanto",87
"Pohjankoski",87
"Ponto",87
"Prykäri",87
"Puolanne",87
"Pykälä",87
"Pykäri",87
"Pyysing",87
"Päiväläinen",87
"Rantti",87
"Rasinaho",87
"Reijo",87
"Rodriguez",87
"Roms",87
"Satukangas",87
"Sauramäki",87
"Savijoki",87
"Sergejeff",87
"Suonsivu",87
"Säippä",87
"Tenhovuori",87
"Tuohiniemi",87
"Walli",87
"Westin",87
"Wood",87
"Vuorilehto",87
"Yli-Rantala",87
"Öblom",87
"Ahonpää",86
"Berts",86
"Buska",86
"Dahlsten",86
"Etelälahti",86
"Ettanen",86
"Grip",86
"Groop",86
"Haakanen",86
"Haaksluoto",86
"Hellemaa",86
"Hellgrén",86
"Helske",86
"Hirvikorpi",86
"Hokkala",86
"Jussinmäki",86
"Kielinen",86
"Kirkinen",86
"Knaapinen",86
"Laasala",86
"Lintonen",86
"Maikkula",86
"Merikivi",86
"Metsomäki",86
"Mitronen",86
"Myrsky",86
"Norberg",86
"Nordvall",86
"Nuikka",86
"Paakinaho",86
"Pajanen",86
"Penttonen",86
"Pääskynen",86
"Pönkkö",86
"Rantamaula",86
"Raunila",86
"Rinnemaa",86
"Ristiharju",86
"Rynö",86
"Saareks",86
"Sangi",86
"Smedlund",86
"Suleiman",86
"Tamio",86
"Tenno",86
"Turtola",86
"Tuutijärvi",86
"Törölä",86
"Vahlsten",86
"Veneranta",86
"Abdirahman",85
"Abukar",85
"Ala-Huikku",85
"Alaraatikka",85
"Attila",85
"Aulio",85
"Brunberg",85
"Brunell",85
"Buddas",85
"Elers",85
"Hack",85
"Hammarström",85
"Hanska",85
"Harald",85
"Harjumäki",85
"Harjunmaa",85
"Hautaoja",85
"Helve",85
"Hollsten",85
"Hyväkkä",85
"Ilvesmäki",85
"Juslenius",85
"Järnfors",85
"Kandolin",85
"Karmala",85
"Koivusipilä",85
"Korvola",85
"Kotavuopio",85
"Kumara",85
"Kursi",85
"Lampainen",85
"Lesch",85
"Makkula",85
"Malka",85
"Mansukoski",85
"Melén",85
"Mustalammi",85
"Naapuri",85
"Napari",85
"Nyback",85
"Okkola",85
"Ontronen",85
"Pukero",85
"Pussila",85
"Rantapelkonen",85
"Rapinoja",85
"Rokosa",85
"Romar",85
"Sammalkangas",85
"Sharifi",85
"Sjödahl",85
