"Etunimi","Lukumäärä"
"Arianna",120
"Florence",120
"Henna-Mari",120
"Lucy",120
"Mirikli",120
"Monna",120
"Tiina-Mari",120
"Henrica",119
"Lioudmila",119
"Pirkitta",119
"Anja-Riitta",118
"Annastina",118
"Denice",118
"Miona",118
"Ros-Mari",118
"Sylva",118
"Vanilla",118
"Violetta",118
"Zoe",118
"Agda",117
"Alisia",117
"Ghita",117
"Maijastiina",117
"Maj-Gret",117
"Mathilde",117
"Renata",117
"Sira",117
"Sirje",117
"Yrsa",117
"Anna-Maaria",116
"Anna-Stiina",116
"Charlott",116
"Elliina",116
"Manda",116
"Maritza",116
"Osman",116
"Rania",116
"Tiuku",116
"Vella",116
"Vilmiina",116
"Violet",116
"Kaisa-Liisa",115
"Emilja",114
"Rauna",114
"Aurinko",113
"Chloe",113
"Ea",113
"Lise",113
"Merja-Riitta",113
"Ottiilia",113
"Peggy",113
"Sallamaari",113
"Vivi-Ann",113
"Jasmiini",112
"Line",112
"Milli",112
"Sinja",112
"Anika",111
"Anna-Karin",111
"Jetta",111
"Melek",111
"Merete",111
"Mirja-Leena",111
"Rigmor",111
"Fredriikka",110
"Janine",110
"Jean",110
"Priscilla",110
"Yolanda",110
"Alessa",109
"Asma",109
"Dorotea",109
"Hafsa",109
"Heloisa",109
"Hilde",109
"Marja-Helena",109
"Norma",109
"Sonya",109
"Ulla-Mari",109
"Zaida",109
"Fredriika",108
"Katjaana",108
"Mae",108
"Marjanna",108
"Mirelle",108
"Peppi-Lotta",108
"Sari-Anne",108
"Sella",108
"Alfhild",107
"Joan",107
"Mariita",107
"Mary-Ann",107
"Riikka-Maria",107
"Rosina",107
"Savannah",107
"Tuula-Maija",107
"Aleksia",106
"Casandra",106
"Catrin",106
"Eleni",106
"Ensi",106
"Hilve",106
"Keiju",106
"Maura",106
"Miida",106
"Minh",106
"Raini",106
"Rilla",106
"Rinna",106
"Selinda",106
"Veea",106
"Akuliina",105
"Catrine",105
"Eerin",105
"Eliise",105
"Eugenia",105
"Heikintytär",105
"Jacqueline",105
"Minella",105
"Nadejda",105
"Sumaya",105
"Anne-Riitta",104
"Edna",104
"Emma-Sofia",104
"Fatma",104
"Gun-Lis",104
"Hani",104
"Meh",104
"Nada",104
"Stefanie",104
"Urpu",104
"Albertina",103
"Anna-Katariina",103
"Ann-Charlott",103
"Hennariikka",103
"Manna",103
"Marguerite",103
"Nessa",103
"Raakeli",103
"Said",103
"Zeinab",103
"Anneka",102
"Caterina",102
"Chiara",102
"Jeannette",102
"Lauren",102
"Liselott",102
"Viviana",102
"Anni-Sofia",101
"Arja-Riitta",101
"Helly",101
"Henniina",101
"Janetta",101
"Ljubov",101
"Rose-Maj",101
"Thao",101
"Annmari",100
"Enya",100
"Etta",100
"Minessa",100
"Nanny",100
"Opri",100
"Tianna",100
"Tita",100
"Ulla-Marja",100
"Verona",100
"Emine",99
"Nanne",99
"Sofiia",99
"Tutta",99
"Valerie",99
"Yasemin",99
"Eija-Leena",98
"Elly",98
"Eloisa",98
"Emerentia",98
"Hanna-Riitta",98
"Melody",98
"Minda",98
"Pirketta",98
"Tatja",98
"Anja-Liisa",97
"Deborah",97
"Eleanoora",97
"Henny",97
"Huong",97
"Irja-Liisa",97
"Jamina",97
"Kathleen",97
"Kiana",97
"Margareth",97
"Meira",97
"Odette",97
"Ristiina",97
"Sara-Maria",97
"Tuuliina",97
"Vendla",97
"Aicha",96
"Eufrosyne",96
"Gabrielle",96
"Gunn",96
"Liida",96
"Natali",96
"Salla-Maaria",96
"Angel",95
"Evy",95
"Flora",95
"Gunn-Britt",95
"Jill",95
"Kirsimarja",95
"Leonie",95
"Lova",95
"Serafiia",95
"Adella",94
"Anni-Mari",94
"Carmela",94
"Cathrine",94
"Emina",94
"Hinni",94
"Jarintytär",94
"Julina",94
"Merit",94
"Renate",94
"Sini-Tuulia",94
"Tuyet",94
"Unni",94
"Vivianna",94
"Eliza",93
"Julietta",93
"Justina",93
"Karoline",93
"Lianna",93
"Lykke",93
"Sini-Maria",93
"Vanilja",93
"Vivika",93
"Anna-Greta",92
"Ha",92
"Irmelin",92
"Meja",92
"Milea",92
"Mitra",92
"Sole",92
"Terja",92
"Agata",91
"Agatha",91
"Corinne",91
"Dalia",91
"Gitta",91
"Jukantytär",91
"Juudit",91
"Lana",91
"Minttu-Maaria",91
"Miranna",91
"Savanna",91
"Adanna",90
"Anina",90
"Ariela",90
"Emma-Lotta",90
"Emmi-Lotta",90
"Eveline",90
"Hannuntytär",90
"Kirsi-Maarit",90
"Kukka-Maria",90
"Lotta-Maria",90
"Miili",90
"Minnamari",90
"Sanna-Maarit",90
"Sorella",90
"Tiana",90
"Tähti",90
"Ayan",89
"Daalia",89
"Donna",89
"Elliida",89
"Hannakaisa",89
"Jemima",89
"Kaisa-Mari",89
"Margitta",89
"Minna-Maarit",89
"Minttu-Maria",89
"Rosalina",89
"Trang",89
"Unnukka",89
"Anne-Kristiina",88
"Beeda",88
"Hodan",88
"Isra",88
"Julianne",88
"Kuura",88
"Lilianna",88
"Liselotte",88
"Lise-Lotte",88
"Marena",88
"Pricilla",88
"Angelique",87
"Annuli",87
"Anya",87
"Arlene",87
"Edita",87
"Gina",87
"Halima",87
"Helin",87
"Marje",87
"Maryan",87
"Minna-Leena",87
"Una",87
"Arita",86
"Jenna-Maria",86
"Marja-Kaarina",86
"Mikantytär",86
"Minna-Riitta",86
"Tarita",86
"Alexandria",85
"Alexina",85
"Anne-Marita",85
"Aya",85
"Eda",85
"Frances",85
"Huda",85
"Hymy",85
"Maret",85
"Meliina",85
"Merina",85
"Mona-Lisa",85
"Nemi",85
"Päivyt",85
"Raina",85
"Soraja",85
"Soraya",85
"Stefania",85
"Tiina-Riitta",85
"Toive",85
"Varvara",85
"Venni",85
"Ainamo",84
"Asha",84
"Cajsa",84
"Freija",84
"Hamdi",84
"Le",84
"Matilde",84
"Merja-Leena",84
"Oivi",84
"Suzan",84
"Toivikki",84
"Ulpukka",84
"Gia",83
"Hagar",83
"Izabella",83
"Karintytär",83
"Marwa",83
"Mella",83
"Meryem",83
"Nelle",83
"Simona",83
"Sunna",83
"Suvi-Maaria",83
"Tii",83
"Tuula-Marja",83
"Anna-Karoliina",82
"Dahlia",82
"Eeda",82
"Gunda",82
"Henriina",82
"Joanne",82
"Mindi",82
"Mirkku",82
"Nhi",82
"Ronya",82
"Vivien",82
"Catalina",81
"Cristiina",81
"Eevaliisa",81
"Elaine",81
"Esme",81
"Hanna-Reetta",81
"Hele",81
"Ismail",81
"Mataleena",81
"Mi",81
"Viona",81
"Aino-Sofia",80
"Anne-May",80
"Ann-Helen",80
"Cara",80
"Eeva-Stiina",80
"Jamila",80
"Lan",80
"Lene",80
"Marja-Kaisa",80
"Minette",80
"Olena",80
"Pirta",80
"Satu-Marja",80
"Yasmina",80
"Aimi",79
"Anna-Lotta",79
"Gitte",79
"Iina-Maria",79
"Kaari",79
"Maleena",79
"Margarethe",79
"Nadezhda",79
"Naima",79
"Villiina",79
"Vivianne",79
"Anna-Helena",78
"Ann-Catrin",78
"Beea",78
"Edda",78
"Esra",78
"Helmi-Maria",78
"June",78
"Leanna",78
"Lyylikki",78
"Meija",78
"Minna-Kaisa",78
"Muisto",78
"Pii",78
"Renée",78
"Sipriina",78
"Sorja",78
"Tora",78
"Ayla",77
"Berta",77
"Jenika",77
"Jessiina",77
"Kirsten",77
"Layla",77
"Medina",77
"Riitu",77
"Sarika",77
"Satu-Maaria",77
"Sirkka-Leena",77
"Uma",77
"Wera",77
"Angervo",76
"Chantal",76
"Constance",76
"Gustava",76
"Görel",76
"Heléne",76
"Hope",76
"Marinella",76
"Marléne",76
"Sirena",76
"Terttu-Liisa",76
"Tuuli-Maria",76
"Veela",76
"Aleksandrovna",75
"Juli",75
"Katia",75
"Nea-Maria",75
"Niini",75
"Pirkko-Leena",75
"Sol-Britt",75
"Tarina",75
"Adolfina",74
"Aino-Liisa",74
"Alba",74
"Andréa",74
"Anetta",74
"Anki",74
"Brianna",74
"Eleonor",74
"Elli-Maija",74
"Kaija-Riitta",74
"Salla-Maarit",74
"Sikuriina",74
"Silla",74
"Tiina-Kaisa",74
"Vilda",74
"Viva",74
"Yen",74
"Aleksantra",73
"Anastassia",73
"Anmari",73
"Annemarie",73
"Elanor",73
"Eva-Stina",73
"Jeanne",73
"Kersti",73
"Liza",73
"Mildred",73
"Serina",73
"Van",73
"Wanda",73
"Vanja",73
"Venja",73
"Aana",72
"Anni-Kaisa",72
"Clary",72
"Gunlög",72
"Helkky",72
"Ingemo",72
"Kamomilla",72
"Kariina",72
"Magda",72
"María",72
"Nimo",72
"Penni",72
"Reine",72
"Rosalinda",72
"Scarlett",72
"Tiila",72
"Valentiina",72
"Ayaan",71
"Eliisi",71
"Elli-Maria",71
"Ellinora",71
"Jama",71
"Jenni-Mari",71
"Liisa-Maija",71
"Mahamud",71
"Muusa",71
"Neve",71
"Niina-Maria",71
"Safa",71
"Taisia",71
"Tiiti",71
"Tova",71
"Alia",70
"Aliisi",70
"Amalie",70
"Anu-Riikka",70
"Eva-Lisa",70
"Evena",70
"Inka-Maria",70
"Kirsi-Mari",70
"Leena-Maria",70
"Mainikki",70
"Malak",70
"Raakkel",70
"Rahma",70
"Roza",70
"Sulevi",70
"Tiffany",70
"Albina",69
"Amilia",69
"Ancela",69
"Anna-Riina",69
"Aria",69
"Cristine",69
"Emmi-Sofia",69
"Etti",69
"Juanita",69
"Lise-Lott",69
"Malvina",69
"Maren",69
"Marjo-Liisa",69
"Metti",69
"Nelia",69
"Nika",69
"Noa",69
"Ruby",69
"Safiya",69
"Sanna-Riikka",69
"Sanne",69
"Sini-Maaria",69
"Valo",69
"Valvikki",69
"Anastasiia",68
"Annimari",68
"Eeva-Mari",68
"Heili",68
"Hetti",68
"Inessa",68
"Joyce",68
"Maileena",68
"Miljaana",68
"Oma",68
"Riina-Maria",68
"Thyra",68
"Ying",68
"Aino-Elina",67
"Aisla",67
"Alex",67
"Anastasija",67
"Anuliina",67
"Birit",67
"Brigitte",67
"Irma-Liisa",67
"Jonna-Maria",67
"Kristella",67
"Kylli",67
"Leena-Marja",67
"Marjana",67
"Meerit",67
"Merituulia",67
"Minéa",67
"Noora-Maria",67
"Silmu",67
"Theodora",67
"Awa",66
"Diane",66
"Jannike",66
"Jenica",66
"Katarine",66
"Marilyn",66
"Melita",66
"Meritta",66
"Noelia",66
"Pekantytär",66
"Sofiina",66
"Wilda",66
"Angeliina",65
"Anna-Maarit",65
"Jada",65
"Jessina",65
"Juulianna",65
"Kaisli",65
"Kelly",65
"Kikka",65
"Laine",65
"Leonore",65
"Maritsa",65
"Maryama",65
"Miska",65
"Penelope",65
"Ros-Marie",65
"Talvi",65
"Adelaide",64
"Aleksina",64
"Annaliina",64
"Anneliina",64
"Birkitta",64
"Ciara",64
"Emmaliina",64
"Hanna-Maaria",64
"Mariama",64
"Marjo-Riikka",64
"Nhu",64
"Pelagia",64
"Sahar",64
"Sanniina",64
"Siiri-Sofia",64
"Taava",64
"Vida",64
"Villentytär",64
"Vladimirovna",64
"Asteri",63
"Aylin",63
"Beatriz",63
"Esma",63
"Janella",63
"Junia",63
"Katri-Maria",63
"Leija",63
"Liidia",63
"Lilla",63
"Miilia",63
"Milla-Maaria",63
"Nathalia",63
"Pihlaja",63
"Pirja",63
"Priitta",63
"Rae",63
"Renee",63
"Signhild",63
"Susana",63
"Tuomikki",63
"Vy",63
"Adaliina",62
"Adèle",62
"Aivi",62
"Anna-Katriina",62
"Arintytär",62
"Beada",62
"Chatarina",62
"Debora",62
"Emilla",62
"Eva-Lotta",62
"Hélène",62
"Iiri",62
"Immi",62
"Kateriina",62
"Maijaliisa",62
"Milla-Mari",62
"Minna-Maaria",62
"Nour",62
"Sarri",62
"Sheila",62
"Soja",62
"Tuua",62
"Tuva",62
"Veera-Maria",62
"Abdirashid",61
"An",61
"Carol",61
"Dania",61
"Dorothy",61
"Eerica",61
"Eline",61
"Ella-Noora",61
"Fiinu",61
"Franziska",61
"Georgina",61
"Jenna-Mari",61
"Jussintytär",61
"Lin",61
"Luise",61
"Madelein",61
"Madeline",61
"Malika",61
"Markontytär",61
"Melis",61
"Menna",61
"Merle",61
"Mikael",61
"Mimmu",61
"Najma",61
"Quynh",61
"Seija-Riitta",61
"Suvi-Päivi",61
"Tarja-Riitta",61
"Tehilla",61
"Ullamaija",61
"Viktoriina",61
"Anni-Elina",60
"Ayse",60
"Berfin",60
"Del",60
"Fatemeh",60
"Hanna-Maarit",60
"Hilla-Maria",60
"Ilo",60
"Ivy",60
"Karenina",60
"Kitta",60
"Maare",60
"Margarete",60
"Mari-Johanna",60
"Martiina",60
"Melia",60
"Miia-Mari",60
"Misa",60
"Onnia",60
"Pia-Liisa",60
"Päivänsäde",60
"Satu-Sinikka",60
"Shukri",60
"Soma",60
"Tanita",60
"Tuomi",60
"Weera",60
"Venna",60
"Zeynep",60
"Aden",59
"Annariikka",59
"Anni-Maija",59
"Bertha",59
"Birgetta",59
"Demi",59
"Eedith",59
"Ella-Mari",59
"Elmiira",59
"Erja-Liisa",59
"Faith",59
"Hanan",59
"Lioubov",59
"Lolan",59
"Maxine",59
"Milia",59
"Titti",59
"Ulla-Riikka",59
"Ulla-Stina",59
"Velma",59
"Alica",58
"April",58
"Chloé",58
"Corinna",58
"Eleena",58
"Ella-Sofia",58
"Fredrica",58
"Greeta",58
"Halimo",58
"Katja-Maria",58
"May-Britt",58
"Riikka-Leena",58
"Shirin",58
"Silpa",58
"Solbritt",58
"Sue",58
"Suvi-Marja",58
"Tarja-Tuulikki",58
"Tuula-Riitta",58
"Aada-Maria",57
"Ada-Sofia",57
"Adna",57
"Beatrix",57
"Delila",57
"Eevamaria",57
"Ela",57
"Elvina",57
"Emelina",57
"Evin",57
"Hetta",57
"Joana",57
"Khadra",57
"Maida",57
"Marine",57
"Megan",57
"Metta",57
"Noemi",57
"Petrintytär",57
"Sadia",57
"Sundus",57
"Tiitta",57
"Tonja",57
"Aliise",56
"Annabelle",56
"Anu-Maarit",56
"Arna",56
"Azra",56
"Bao",56
"Bich",56
"Hana",56
"Ifrah",56
"Kaisa-Maija",56
"Ly",56
"Maaren",56
"Maija-Kaisa",56
"Manja",56
"Mariikka",56
"Marjorie",56
"Mesi",56
"Minna-Maija",56
"Mohammad",56
"Sisko-Liisa",56
"Yana",56
"Aaria",55
"Alejandra",55
"Ami",55
"Anu-Maria",55
"Bahar",55
"Désirée",55
"Dilara",55
"Elsa-Maria",55
"Emmi-Maria",55
"Gea",55
"Hannamaria",55
"Heinikki",55
"Indira",55
"Iuliia",55
"Jinna",55
"Kaisu-Leena",55
"Liisu",55
"Mai-Lis",55
"Marla",55
"Mili",55
"Nga",55
"Niki",55
"Ninette",55
"Rosemarie",55
"Torborg",55
"Violeta",55
"Adelle",54
"Aniela",54
"Annami",54
"Athena",54
"Celinda",54
"Chelsea",54
"Eleonore",54
"Hanne-Maria",54
"Hasan",54
"Hoang",54
"Ida-Lotta",54
"Idun",54
"Lorena",54
"Mildrid",54
"Mirabella",54
"Myrsky",54
"Neilikka",54
"Sari-Anna",54
"Sievä",54
"Tuutikki",54
"Vega",54
"Wendy",54
"Viktoriia",54
"Yan",54
"Zahraa",54
"Zinaida",54
"Amiira",53
"Ancelika",53
"Anna-Reeta",53
"Ashley",53
"Desireé",53
"Ellanoora",53
"Enia",53
"Gita",53
"Iona",53
"Kristen",53
"Laura-Kaisa",53
"Mariatta",53
"Odelia",53
"Yusra",53
"Ainomaija",52
"Anna-Kaija",52
"Anne-Liisa",52
"Ariella",52
"Christiane",52
"Dea",52
"Eena",52
"Eevaleena",52
"Essi-Maria",52
"Fatou",52
"Henriksdotter",52
"Hoa",52
"Huyen",52
"Johanne",52
"Kirsti-Liisa",52
"Maaretta",52
"Madelen",52
"Mindy",52
"Naimi",52
"Riikka-Mari",52
"Saana-Maria",52
"Sanni-Maria",52
"Sivia",52
"Teodora",52
"Tuija-Liisa",52
"Uni",52
"Viima",52
"Vivica",52
"Anett",51
"Ann-Maria",51
"Arabella",51
"Eileen",51
"Eloise",51
"Erina",51
"Helpi",51
"Ingvor",51
"Julija",51
"Kukkamaaria",51
"Kuu",51
"Käthe",51
"Lovis",51
"Madelaine",51
"Malou",51
"Mare",51
"Marjo-Leena",51
"Riitta-Sisko",51
"Roberta",51
"Sanni-Mari",51
"Siw",51
"Suleima",51
"Tinna",51
"Vesta",51
"Abukar",50
"Ailiina",50
"Elda",50
"Eunice",50
"Hang",50
"Hawa",50
"Ida-Emilia",50
"Iryna",50
"Jaakontytär",50
"Janice",50
"Jenny-Maria",50
"Kaiju",50
"Katarzyna",50
"Kayla",50
"Linéa",50
"Marcella",50
"Michele",50
"Nelli-Noora",50
"Oona-Maria",50
"Priita",50
"Seita",50
"Sibel",50
"Sirkku-Liisa",50
"Tuuni",50
"Wellamo",50
"Wiivi",50
"Wiola",50
"Alexis",49
"Anissa",49
"Anna-Katri",49
"Audrey",49
"Birgitte",49
"Britt-Louise",49
"Camila",49
"Camille",49
"Céline",49
"Delia",49
"Elisi",49
"Elmira",49
"Farhia",49
"Hippu",49
"Karolin",49
"Katju",49
"Kay",49
"Lizette",49
"Markareetta",49
"Markuntytär",49
"Muru",49
"Mustafa",49
"Nomi",49
"Otteliaana",49
"Pia-Mari",49
"Reetta-Liisa",49
"Rosanne",49
"Siham",49
"Tella",49
"Terése",49
"Zhanna",49
"Ada-Maria",48
"Ainomaria",48
"Aleksa",48
"Alisha",48
"Amber",48
"Ania",48
"Anne-Charlotte",48
"Bashir",48
"Brenda",48
"Dahir",48
"Eeva-Kristiina",48
"Eili",48
"Emma-Maria",48
"Eva-Marie",48
"Faina",48
"Heldine",48
"Janiika",48
"Kesia",48
"Lida",48
"Lisa-Maria",48
"Mariko",48
"Marjaterttu",48
"Outi-Maria",48
"Rinja",48
"Roosa-Maaria",48
"Safina",48
"Sana",48
"Sigbritt",48
"Tuula-Anneli",48
"Valpu",48
"Vivienne",48
"Zelda",48
"Edel",47
"Edina",47
"Elenor",47
"Elsbeth",47
"Farida",47
"Gunlis",47
"Heini-Maria",47
"Jaanika",47
"Jonna-Mari",47
"Keijukka",47
"Loan",47
"Mariza",47
"Mikaelsdotter",47
"Monique",47
"Nasra",47
"Nila",47
"Ninnu",47
"Novalie",47
"Peppilotta",47
"Piret",47
"Sannakaisa",47
"Sanna-Maaria",47
"Serafima",47
"Siro",47
"Snöfrid",47
"Taira",47
"Varma",47
"Viviann",47
"Abdullah",46
"Adan",46
"Aire",46
"Alana",46
"Alison",46
"Asmaa",46
"Brigitta",46
"Eetla",46
"Fransilia",46
"Isella",46
"Isolde",46
"Jael",46
"Josefia",46
"Kristian",46
"Lucie",46
"Malgorzata",46
"Malina",46
"Mariah",46
"Meena",46
"Sagal",46
"Solina",46
"Verena",46
"Abdirizak",45
"Agnieszka",45
"Ailikki",45
"Aino-Inkeri",45
"Alda",45
"Alexiina",45
"Ama",45
"Anne-Marjut",45
"Annimaria",45
"Arnevi",45
"Beate",45
"Dilan",45
"Eija-Sinikka",45
"Hannamaija",45
"Henna-Leena",45
"India",45
"Irkka",45
"Jannentytär",45
"Joline",45
"Katie",45
"Liila",45
"Lolita",45
"Melida",45
"Nikki",45
"Piia-Maria",45
"Rana",45
"Repekka",45
"Saara-Maija",45
"Sävy",45
"Tupuna",45
"Ulla-Brita",45
"Abbas",44
"Andersdotter",44
"Anjuska",44
"Anniliina",44
"Chi",44
"Dung",44
"Effia",44
"Elene",44
"Esteriina",44
"Hawo",44
"Jenna-Julia",44
"Karpalo",44
"Lavinia",44
"Lisa-Marie",44
"Majken",44
"Marja-Elina",44
"Nataliia",44
"Nataliya",44
"Natascha",44
"Seena",44
"Sinella",44
"Sissel",44
"Suna",44
"Tintti",44
"Viktorina",44
"Ailakki",43
"Bushra",43
"Carlotta",43
"Chanel",43
"Cynthia",43
"Darling",43
"Dolly",43
"Dorita",43
"Eelia",43
"Fardowsa",43
"Fatema",43
"Hanna-Elina",43
"Harrintytär",43
"Hatice",43
"Henna-Kaisa",43
"Hiba",43
"Idamaria",43
"Iro",43
"Isela",43
"Jeni",43
"Juno",43
"Karima",43
"Kea",43
"Kimberly",43
"Kirsi-Maaria",43
"Ling",43
"Madicken",43
"Madina",43
"Manteli",43
"Marcela",43
"Marge",43
"Marget",43
"Melodia",43
"Milja-Maria",43
"Minna-Riikka",43
"Nasti",43
"Nguyen",43
"Riitta-Kaisa",43
"Rosemary",43
"Samia",43
"Senia",43
"Tuulianna",43
"Ulla-Leena",43
"Vea",43
"Vesantytär",43
"Vilma-Lotta",43
"Yu",43
"Zoja",43
"Adelie",42
"Ahmad",42
"Alexander",42
"Alfrida",42
"Anja-Leena",42
"Anni-Emilia",42
"Aster",42
"Avelia",42
"Carolyn",42
"Darina",42
"Effi",42
"Ellamari",42
"Else-May",42
"Frederika",42
"Gladys",42
"Gunni",42
"Hazel",42
"Iqra",42
"Jelina",42
"Katalin",42
"Krista-Maria",42
"Leandra",42
"Maarja",42
"Marja-Kristiina",42
"Matlena",42
"Merve",42
"Mia-Mari",42
"Minne",42
"Minnie",42
"Mira-Maria",42
"Nasrin",42
"Nisa",42
"Rimma",42
"Sini-Tuuli",42
"Sirius",42
"Skye",42
"Tam",42
"Tiia-Riikka",42
"Tilla",42
"Tilta",42
"Veena",42
"Viktoriya",42
"Viktorovna",42
"Aada-Sofia",41
"Aalia",41
"Adelea",41
"Anne-Christine",41
"Anne-Kaarina",41
"Evia",41
"Fransiska",41
"Gunbritt",41
"Habiba",41
"Hanh",41
"Hannaliisa",41
"Helianna",41
"Hibo",41
"Iida-Emilia",41
"Katjuska",41
"Ksenija",41
"Lotten",41
"Malaika",41
"Marlén",41
"Miija",41
"Neda",41
"Onna",41
"Paulette",41
"Philippa",41
"Pia-Riitta",41
"Ramla",41
"Raquel",41
"Ruu",41
"Sadetta",41
"Safiira",41
"Saranda",41
"Sargit",41
"Satu-Sisko",41
"Utu",41
"Yael",41
"Abdifatah",40
"Amani",40
"Anaïs",40
"Annmarie",40
"Apollonia",40
"Avella",40
"Briita",40
"Christiana",40
"Ciia",40
"Derya",40
"Elen",40
"Ella-Maija",40
"Emi",40
"Erja-Riitta",40
"Esantytär",40
"Gundel",40
"Gun-Marie",40
"Gunveig",40
"Hailey",40
"Hanna-Marja",40
"Ivana",40
"Jamal",40
"Jasna",40
"Kaiho",40
"Krisse",40
"Laurintytär",40
"Leena-Kaarina",40
"Lilith",40
"Lilya",40
"Lumianna",40
"Madison",40
"Maija-Stiina",40
"Maissi",40
"Mandy",40
"Maria-Helena",40
"Marjoriitta",40
"Marleen",40
"Merette",40
"Nasro",40
"Noella",40
"Runo",40
"Sania",40
"Sanni-Sofia",40
"Sari-Maarit",40
"Sasha",40
"Shirley",40
"Sirpa-Leena",40
"Svitlana",40
"Telle",40
"Tiia-Riina",40
"Tiina-Marja",40
"Ulla-Kaisa",40
"Viivi-Maria",40
"Vineta",40
"Adea",39
"Amaya",39
"Anu-Liisa",39
"Arya",39
"Aslög",39
"Deniz",39
"Emmelie",39
"Francisca",39
"Franciska",39
"Giulia",39
"Helmi-Sofia",39
"Henna-Maija",39
"Iida-Liisa",39
"Iida-Lotta",39
"Iida-Maija",39
"Ilkantytär",39
"Inga-Liisa",39
"Kamila",39
"Kathryn",39
"Kirta",39
"Leena-Mari",39
"Mairit",39
"Majlen",39
"Mari-Leena",39
"Mari-Louise",39
"Mary-Anne",39
"Melike",39
"Miia-Marika",39
"Nan",39
"Nawal",39
"Neonilla",39
"Ngan",39
"Nicoletta",39
"Norah",39
"Oline",39
"Pi",39
"Roosa-Mari",39
"Rosamaria",39
"Rosi",39
"Saara-Kaisa",39
"Samintytär",39
"Sarai",39
"Seea",39
"Sickan",39
"Sinaida",39
"Sini-Maarit",39
"Tasnim",39
"Titi",39
"Truc",39
"Tuana",39
"Tuomaantytär",39
"Agnetha",38
"Alfa",38
"Anni-Leena",38
"Antonella",38
"Avilla",38
"Aviva",38
"Ditte",38
"Dominique",38
"Ellimaija",38
"Emma-Kaisa",38
"Emma-Liisa",38
"Enniina",38
"Erikka",38
"Erja-Leena",38
"Eva-Maija",38
"Eyvor",38
"Faisa",38
"Helmina",38
"Iidamaria",38
"Illuusia",38
"Inca",38
"Inge-Britt",38
"Iraida",38
"Ivanovna",38
"Johansdotter",38
"Katharine",38
"Kiisa",38
"Madleena",38
"Mahad",38
"Mariya",38
"Marjuska",38
"Martine",38
"Mette-Maria",38
"Millie",38
"Minta",38
"Mirja-Riitta",38
"Nenne",38
"Nguyet",38
"Nuur",38
"Ollintytär",38
"Pomeliina",38
"Raakkeli",38
"Rayaan",38
"Sabah",38
"Sabrin",38
"Sini-Marja",38
"Sofiel",38
"Suad",38
"Suvi-Tuulikki",38
"Tiia-Tuulia",38
"Tuija-Leena",38
"Wanjiru",38
"Wiktoria",38
"Agnete",37
"Airiina",37
"Annasofia",37
"Arwen",37
"Catariina",37
"Cecilie",37
"Dawn",37
"Eevamaija",37
"Eija-Inkeri",37
"Eja",37
"Elizabet",37
"Elvia",37
"Eva-Kaarina",37
"Fartun",37
"Fay",37
"Frideborg",37
"Gun-Viol",37
"Heli-Maria",37
"Helina",37
"Iana",37
"Idil",37
"Iida-Mari",37
"Jenifer",37
"Kalla",37
"Khalid",37
"Kitte",37
"Larsdotter",37
"Lejla",37
"Lien",37
"Liivia",37
"Lilija",37
"Lo",37
"Lumilla",37
"Lydmila",37
"Margherita",37
"Molla",37
"Naemi",37
"Natja",37
"Nhung",37
"Pia-Kristiina",37
"Pippa",37
"Priska",37
"Rayan",37
"Reina",37
"Rosa-Marie",37
"Saara-Sofia",37
"Saija-Leena",37
"Salka",37
"Ubah",37
"Ulla-Maarit",37
"Unikko",37
"Wambui",37
"Yara",37
"Aaliyah",36
"Adelé",36
"Agafia",36
"Ai",36
"Aija-Leena",36
"Aino-Emilia",36
"Alevtina",36
"Anab",36
"Anilla",36
"Anne-Maaret",36
"Anne-Marika",36
"Anu-Mari",36
"Biritta",36
"Britt-Inger",36
"Caitlin",36
"del",36
"Eeva-Sisko",36
"Ellamaria",36
"Elviina",36
"Emilija",36
"Emma-Leena",36
"Enneli",36
"Eugenie",36
"Fernanda",36
"Gaia",36
"Geraldine",36
"Gun-May",36
"Han",36
"Hanna-Sofia",36
"Hannemari",36
"Helfrid",36
"Jeena",36
"Jounintytär",36
"Kerttu-Liisa",36
"Leone",36
"Liilia",36
"Lounatuuli",36
"Margitha",36
"Marle",36
"Mertta",36
"Minnaliisa",36
"Mireille",36
"Mirela",36
"Nikola",36
"Oliwia",36
"Princess",36
"Rabia",36
"Rashid",36
"Riitta-Maria",36
"Ristontytär",36
"Saad",36
"Saba",36
"Samsam",36
"Smilla",36
"Suvituulia",36
"Tapiontytär",36
"Tuikku",36
"Tuuli-Maaria",36
"Uliana",36
"Vi",36
"Ülle",36
"Abdul",35
"Adam",35
"Adeleine",35
"Adrienne",35
"Aksiina",35
"Aliida",35
"Anna-Julia",35
"Anna-Marie",35
"Artemis",35
"Catherina",35
"Danica",35
"Enni-Maria",35
"Erkintytär",35
"Evie",35
"Fransina",35
"Hanna-Riina",35
"Hilja-Maria",35
"Hilkka-Maija",35
"Jaana-Maria",35
"Josetta",35
"Kara",35
"Katya",35
"Kristiine",35
"Leontine",35
"Liliane",35
"Linda-Marie",35
"Mahdi",35
"Mahmoud",35
"Majbritt",35
"Maria-Sofia",35
"Marike",35
"Markitta",35
"Mimma",35
"Natacha",35
"Natalija",35
"Neena",35
"Nicolette",35
"Nikolaevna",35
"Nyyti",35
"Petrina",35
"Reetta-Leena",35
"Roosamari",35
"Sandy",35
"Suvi-Maarit",35
"Svanhild",35
